Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Christian Fassnacht,FW,Switzerland,27.0,1993.0,2.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,34.0,3.0,5.0,3.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,36.0,1.0,11.0,14.0,12.0,0.0,36.0,0.0,0.0,0.0,0.0,10.0,65.0,27.0,2.0,1.0,0.0,3.0,1.0,37.0,17.0,4.0,5.0,4.0,1.0,1.0,4.0,1.0,30.0,7.0,9.0,12.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
João Félix,FW,Portugal,21.0,1999.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,18.8,0.0,265.0,52.0,8.0,11.0,6.0,6.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,27.0,0.0,0.0,12.0,18.0,2.0,26.0,1.0,1.0,1.0,0.0,20.0,135.0,94.0,4.0,3.0,0.0,1.0,0.0,26.0,21.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Fernandes,MF,Portugal,26.0,1994.0,4.0,2.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,26.0,0.0,1783.0,554.0,30.0,33.0,28.0,38.0,20.0,30.0,6.0,7.0,7.0,1.0,0.0,1.0,6.0,1.0,13.0,0.0,0.0,0.0,11.0,0.0,3.0,136.0,2.0,14.0,58.0,71.0,7.0,121.0,1.0,6.0,3.0,0.0,86.0,429.0,250.0,8.0,1.0,1.0,5.0,3.0,116.0,98.0,17.0,3.0,1.0,2.0,1.0,3.0,4.0,42.0,14.0,15.0,10.0,17.0,4.0,0.0,0.0,4.0,1.0,1.0,0.0
Mário Fernandes,DF,Russia,30.0,1990.0,3.0,3.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,17.7,0.0,1021.0,350.0,25.0,28.0,28.0,36.0,4.0,10.0,0.0,3.0,3.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,17.0,5.0,2.0,101.0,9.0,32.0,48.0,27.0,2.0,82.0,0.0,1.0,0.0,0.0,46.0,224.0,105.0,5.0,2.0,0.0,2.0,0.0,60.0,46.0,1.0,0.0,3.0,0.0,0.0,3.0,5.0,31.0,6.0,14.0,14.0,3.0,6.0,0.0,0.0,6.0,2.0,5.0,0.0
Attila Fiola,DF,Hungary,30.0,1990.0,3.0,3.0,264.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,13.2,0.0,945.0,454.0,31.0,34.0,29.0,42.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,2.0,7.0,138.0,16.0,63.0,47.0,31.0,6.0,112.0,2.0,5.0,2.0,0.0,60.0,190.0,62.0,0.0,0.0,0.0,4.0,6.0,70.0,60.0,3.0,7.0,6.0,4.0,0.0,2.0,8.0,63.0,14.0,42.0,15.0,6.0,16.0,3.0,0.0,13.0,1.0,8.0,0.0
Alessandro Florenzi,DF,Italy,29.0,1991.0,2.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,276.0,18.0,21.0,24.0,25.0,5.0,10.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,61.0,0.0,13.0,32.0,25.0,1.0,53.0,0.0,0.0,0.0,0.0,43.0,347.0,239.0,11.0,3.0,1.0,1.0,1.0,47.0,46.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Phil Foden,FW,England,20.0,2000.0,3.0,2.0,158.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,13.5,0.0,1133.0,129.0,27.0,27.0,24.0,29.0,10.0,14.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,89.0,2.0,9.0,30.0,53.0,8.0,85.0,2.0,5.0,2.0,0.0,57.0,214.0,103.0,7.0,1.0,3.0,2.0,2.0,95.0,74.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,13.0,11.0,17.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
James Forrest,DF,Scotland,29.0,1991.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.3,0.0,38.0,16.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,1.0,3.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,6.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emil Forsberg,MF,Sweden,29.0,1991.0,4.0,4.0,369.0,4.0,0.0,1.0,1.0,1.0,0.0,13.0,3.0,19.8,0.0,2074.0,481.0,51.0,56.0,48.0,56.0,16.0,28.0,5.0,12.0,6.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,2.0,196.0,3.0,19.0,93.0,98.0,11.0,181.0,4.0,8.0,5.0,0.0,140.0,808.0,408.0,30.0,9.0,1.0,6.0,6.0,153.0,129.0,16.0,1.0,2.0,0.0,0.0,1.0,4.0,50.0,15.0,17.0,23.0,10.0,5.0,0.0,0.0,5.0,5.0,4.0,0.0
Marcus Forss,FW,Finland,21.0,1999.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przemysław Frankowski,DF,Poland,25.0,1995.0,3.0,0.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,225.0,25.0,27.0,12.0,14.0,4.0,5.0,5.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,2.0,54.0,0.0,7.0,15.0,35.0,5.0,48.0,0.0,0.0,0.0,0.0,36.0,265.0,188.0,9.0,2.0,1.0,2.0,0.0,45.0,35.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,28.0,4.0,2.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Fraser,MF,Scotland,26.0,1994.0,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.1,0.0,295.0,82.0,6.0,8.0,7.0,8.0,2.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,26.0,0.0,1.0,11.0,18.0,3.0,23.0,0.0,0.0,0.0,0.0,20.0,199.0,151.0,6.0,3.0,1.0,0.0,1.0,29.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remo Freuler,MF,Switzerland,28.0,1992.0,5.0,5.0,459.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3899.0,1031.0,104.0,110.0,97.0,102.0,22.0,32.0,5.0,18.0,3.0,0.0,0.0,6.0,6.0,0.0,4.0,0.0,0.0,0.0,42.0,8.0,2.0,296.0,12.0,73.0,181.0,54.0,4.0,287.0,3.0,3.0,3.0,0.0,188.0,879.0,376.0,19.0,3.0,1.0,7.0,6.0,213.0,206.0,10.0,7.0,5.0,5.0,1.0,2.0,9.0,106.0,30.0,45.0,44.0,17.0,8.0,2.0,0.0,6.0,9.0,7.0,0.0
Cody Gakpo,MF,Netherlands,21.0,1999.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,3.0,3.0,2.0,7.0,0.0,1.0,0.0,0.0,6.0,22.0,9.0,1.0,0.0,1.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric García,DF,Spain,20.0,2001.0,3.0,3.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,6080.0,1399.0,52.0,52.0,184.0,188.0,41.0,48.0,0.0,13.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,302.0,17.0,97.0,221.0,6.0,1.0,295.0,0.0,0.0,0.0,0.0,239.0,1534.0,968.0,31.0,2.0,0.0,0.0,0.0,260.0,258.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,26.0,8.0,12.0,11.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0
Mario Gavranović,FW,Switzerland,31.0,1989.0,5.0,0.0,155.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,17.0,0.0,304.0,41.0,13.0,16.0,7.0,10.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,48.0,1.0,5.0,27.0,16.0,5.0,45.0,2.0,4.0,2.0,0.0,34.0,111.0,47.0,5.0,0.0,2.0,6.0,5.0,74.0,37.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,11.0,7.0,18.0,13.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
Billy Gilmour,MF,Scotland,19.0,2001.0,1.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.0,102.0,17.0,18.0,19.0,21.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,51.0,0.0,13.0,32.0,11.0,1.0,49.0,0.0,0.0,0.0,0.0,29.0,168.0,78.0,4.0,3.0,0.0,0.0,2.0,38.0,35.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,20.0,6.0,8.0,8.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Matthias Ginter,DF,Germany,27.0,1994.0,4.0,4.0,344.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,8.0,0.0,5270.0,1566.0,86.0,91.0,138.0,151.0,37.0,54.0,1.0,28.0,2.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,0.0,27.0,8.0,1.0,327.0,17.0,102.0,188.0,62.0,3.0,322.0,2.0,2.0,2.0,0.0,247.0,1066.0,539.0,27.0,8.0,0.0,0.0,0.0,272.0,268.0,2.0,6.0,2.0,6.0,1.0,4.0,1.0,28.0,14.0,9.0,18.0,1.0,2.0,1.0,0.0,1.0,1.0,13.0,0.0
Olivier Giroud,FW,France,34.0,1986.0,2.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,0.0,99.0,20.0,6.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,17.0,0.0,0.0,8.0,9.0,4.0,16.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,29.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,2.0,3.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Kamil Glik,DF,Poland,32.0,1988.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,2660.0,692.0,22.0,26.0,85.0,91.0,13.0,23.0,1.0,5.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,3.0,175.0,23.0,87.0,94.0,5.0,3.0,169.0,0.0,0.0,0.0,0.0,84.0,368.0,222.0,3.0,0.0,0.0,0.0,0.0,98.0,96.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,24.0,6.0,13.0,10.0,1.0,4.0,2.0,0.0,2.0,4.0,21.0,0.0
Serge Gnabry,FW,Germany,25.0,1995.0,4.0,3.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,14.2,0.0,922.0,50.0,37.0,45.0,19.0,23.0,3.0,6.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,14.0,0.0,6.0,109.0,1.0,6.0,48.0,61.0,15.0,101.0,5.0,9.0,7.0,1.0,72.0,320.0,155.0,9.0,3.0,1.0,6.0,4.0,119.0,73.0,19.0,4.0,0.0,3.0,2.0,0.0,1.0,43.0,15.0,2.0,20.0,21.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0
Aleksandr Golovin,MF,Russia,24.0,1996.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.7,0.0,1848.0,562.0,42.0,48.0,39.0,51.0,15.0,25.0,3.0,5.0,6.0,4.0,0.0,5.0,7.0,1.0,12.0,0.0,0.0,0.0,26.0,3.0,2.0,165.0,1.0,15.0,74.0,93.0,9.0,151.0,5.0,6.0,5.0,1.0,118.0,770.0,393.0,24.0,13.0,2.0,3.0,7.0,127.0,105.0,10.0,5.0,1.0,2.0,2.0,3.0,1.0,62.0,17.0,9.0,31.0,22.0,6.0,0.0,0.0,6.0,3.0,0.0,0.0
Leon Goretzka,MF,Germany,25.0,1995.0,3.0,1.0,141.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,18.2,0.0,1139.0,251.0,27.0,28.0,32.0,35.0,5.0,6.0,1.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,87.0,4.0,17.0,55.0,24.0,7.0,86.0,1.0,2.0,1.0,0.0,58.0,471.0,328.0,11.0,4.0,1.0,1.0,1.0,74.0,66.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,22.0,5.0,7.0,14.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0
Robin Gosens,DF,Germany,26.0,1994.0,4.0,4.0,317.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,4.0,10.5,0.0,2696.0,616.0,72.0,78.0,72.0,86.0,12.0,20.0,5.0,4.0,6.0,4.0,0.0,4.0,1.0,0.0,12.0,0.0,0.0,0.0,25.0,4.0,2.0,220.0,4.0,59.0,71.0,105.0,12.0,204.0,0.0,2.0,0.0,0.0,134.0,496.0,214.0,14.0,5.0,0.0,4.0,2.0,176.0,157.0,22.0,2.0,2.0,0.0,1.0,0.0,3.0,43.0,10.0,9.0,22.0,12.0,5.0,0.0,0.0,5.0,10.0,4.0,0.0
Ryan Gravenberch,MF,Netherlands,18.0,2002.0,2.0,1.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.1,0.0,1327.0,392.0,41.0,42.0,38.0,42.0,3.0,5.0,1.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,114.0,2.0,19.0,65.0,42.0,5.0,112.0,3.0,5.0,3.0,1.0,87.0,450.0,257.0,15.0,5.0,1.0,4.0,1.0,98.0,88.0,5.0,1.0,2.0,2.0,0.0,1.0,3.0,32.0,6.0,14.0,12.0,6.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0
Jack Grealish,FW,England,25.0,1995.0,5.0,1.0,176.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,17.8,0.0,942.0,177.0,36.0,40.0,27.0,30.0,1.0,4.0,5.0,4.0,5.0,0.0,0.0,4.0,11.0,0.0,3.0,0.0,0.0,0.0,12.0,4.0,1.0,99.0,3.0,8.0,45.0,53.0,14.0,95.0,3.0,4.0,3.0,0.0,79.0,709.0,389.0,24.0,5.0,9.0,3.0,2.0,98.0,74.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,7.0,8.0,7.0,19.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0
Michael Gregoritsch,FW,Austria,26.0,1994.0,3.0,1.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,11.6,0.0,308.0,36.0,12.0,13.0,8.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,7.0,4.0,3.0,43.0,2.0,5.0,20.0,20.0,6.0,40.0,0.0,0.0,0.0,0.0,24.0,67.0,36.0,1.0,1.0,0.0,6.0,1.0,60.0,28.0,9.0,2.0,2.0,0.0,0.0,1.0,0.0,23.0,5.0,2.0,10.0,11.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
Ján Greguš,FW,Slovakia,30.0,1991.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Griezmann,MF,France,29.0,1991.0,4.0,4.0,353.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,19.1,0.0,3221.0,760.0,55.0,64.0,63.0,70.0,34.0,52.0,9.0,15.0,6.0,0.0,0.0,3.0,10.0,2.0,5.0,0.0,0.0,0.0,18.0,2.0,6.0,229.0,2.0,26.0,107.0,113.0,6.0,211.0,3.0,3.0,3.0,0.0,159.0,673.0,336.0,18.0,10.0,0.0,3.0,8.0,199.0,171.0,23.0,10.0,4.0,4.0,3.0,3.0,1.0,81.0,25.0,14.0,45.0,22.0,6.0,0.0,0.0,6.0,1.0,3.0,0.0
Florian Grillitsch,MF,Austria,25.0,1995.0,3.0,2.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.6,0.0,3103.0,753.0,46.0,49.0,71.0,77.0,28.0,39.0,0.0,16.0,3.0,1.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,30.0,1.0,1.0,189.0,16.0,60.0,123.0,21.0,0.0,186.0,2.0,3.0,3.0,1.0,131.0,873.0,360.0,12.0,3.0,0.0,0.0,1.0,145.0,139.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,53.0,15.0,20.0,28.0,5.0,6.0,3.0,0.0,3.0,5.0,4.0,0.0
Raphaël Guerreiro,DF,Portugal,27.0,1993.0,4.0,4.0,360.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,21.1,0.0,3961.0,1314.0,133.0,138.0,88.0,98.0,20.0,31.0,4.0,14.0,4.0,3.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,31.0,0.0,4.0,301.0,4.0,79.0,151.0,95.0,5.0,272.0,3.0,4.0,3.0,0.0,198.0,981.0,629.0,24.0,8.0,0.0,3.0,2.0,238.0,217.0,7.0,5.0,3.0,2.0,1.0,1.0,3.0,42.0,21.0,16.0,20.0,6.0,7.0,0.0,0.0,7.0,2.0,3.0,0.0
İlkay Gündoğan,MF,Germany,30.0,1990.0,3.0,3.0,219.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,3270.0,495.0,71.0,75.0,77.0,81.0,22.0,23.0,0.0,22.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,198.0,0.0,18.0,152.0,42.0,2.0,196.0,0.0,0.0,0.0,0.0,148.0,640.0,286.0,15.0,3.0,0.0,0.0,2.0,176.0,162.0,8.0,3.0,1.0,3.0,0.0,1.0,3.0,36.0,8.0,6.0,16.0,14.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
Chris Gunter,DF,Wales,31.0,1989.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.2,0.0,494.0,123.0,8.0,8.0,14.0,15.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,11.0,28.0,9.0,1.0,1.0,34.0,0.0,0.0,0.0,0.0,18.0,114.0,25.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Joško Gvardiol,DF,Croatia,19.0,2002.0,4.0,4.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,15.2,0.0,2967.0,1156.0,86.0,94.0,65.0,74.0,17.0,30.0,1.0,7.0,6.0,2.0,0.0,5.0,7.0,0.0,7.0,0.0,0.0,0.0,26.0,2.0,4.0,266.0,18.0,96.0,141.0,56.0,5.0,233.0,6.0,10.0,7.0,0.0,171.0,1080.0,734.0,31.0,7.0,2.0,5.0,3.0,175.0,161.0,5.0,5.0,4.0,4.0,1.0,2.0,4.0,81.0,28.0,39.0,34.0,8.0,13.0,1.0,0.0,12.0,10.0,9.0,0.0
Marcel Halstenberg,DF,Germany,29.0,1991.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.1,0.0,188.0,79.0,2.0,2.0,4.0,6.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,15.0,1.0,7.0,5.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,5.0,23.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Marek Hamšík,MF,Slovakia,33.0,1987.0,3.0,3.0,255.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,25.1,0.0,2811.0,607.0,52.0,57.0,43.0,52.0,30.0,37.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,2.0,2.0,162.0,2.0,32.0,107.0,33.0,5.0,153.0,1.0,1.0,1.0,0.0,116.0,421.0,213.0,9.0,3.0,1.0,3.0,1.0,151.0,133.0,9.0,3.0,2.0,1.0,0.0,1.0,2.0,39.0,11.0,9.0,22.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Dávid Hancko,DF,Slovakia,23.0,1997.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.1,0.0,159.0,97.0,5.0,5.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,13.0,0.0,6.0,6.0,4.0,3.0,11.0,0.0,0.0,0.0,0.0,6.0,87.0,75.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant Hanley,DF,Scotland,29.0,1991.0,3.0,3.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1584.0,270.0,24.0,27.0,49.0,50.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,4.0,131.0,17.0,65.0,63.0,9.0,5.0,130.0,2.0,2.0,2.0,0.0,71.0,243.0,62.0,1.0,0.0,0.0,0.0,0.0,73.0,69.0,0.0,4.0,6.0,0.0,0.0,1.0,2.0,34.0,12.0,23.0,9.0,2.0,4.0,2.0,0.0,2.0,9.0,22.0,0.0
Lukáš Haraslín,FW,Slovakia,24.0,1996.0,3.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.5,0.0,505.0,57.0,17.0,20.0,9.0,11.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,2.0,63.0,3.0,18.0,28.0,22.0,9.0,62.0,3.0,5.0,3.0,0.0,42.0,147.0,70.0,6.0,2.0,1.0,7.0,0.0,66.0,39.0,9.0,3.0,4.0,1.0,0.0,2.0,0.0,31.0,10.0,18.0,6.0,7.0,3.0,0.0,0.0,3.0,1.0,3.0,0.0
Ferhan Hasani,FW,North,30.0,1990.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,51.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,1.0,8.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0,7.0,43.0,27.0,1.0,1.0,0.0,1.0,1.0,8.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kai Havertz,FW,Germany,21.0,1999.0,4.0,4.0,301.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0,5.0,14.0,0.0,1501.0,372.0,57.0,66.0,33.0,36.0,6.0,9.0,4.0,4.0,6.0,0.0,0.0,11.0,5.0,0.0,2.0,0.0,0.0,0.0,26.0,4.0,7.0,162.0,2.0,14.0,64.0,100.0,22.0,162.0,2.0,8.0,2.0,0.0,120.0,661.0,347.0,27.0,10.0,6.0,9.0,5.0,172.0,122.0,31.0,1.0,0.0,0.0,1.0,0.0,1.0,52.0,16.0,9.0,18.0,25.0,6.0,2.0,0.0,4.0,0.0,1.0,0.0
